person	count
MagnusGudmundsson1944	22
SigurdurPetursson	22
JonJonatansson	22
EinarOddsson	22
SigurdurGudmundsson	22
StefaniaOskarsdottir	21
HalldorKristjansson	21
FreyjaHaraldsdottir	21
EirikurJonsson	21
HildurSverrisdottir	20
BrynhildurBjornsdottir	20
SteingrimurPalsson	20
ArnfinnurJonsson	20
SigurdurOskarsson	20
SigurdurTHordarson	20
ArniGunnarsson1967	20
AsthildurTHorsdottir	19
EyjolfurSigurdsson	19
SteinunnPetursdottir	19
AudurErlingsdottir	19
MariaHjalmarsdottir	19
EinarTHorgilsson	19
GudrunHafsteinsdottir	19
SvanhildurKaaber	19
KristinnGunnarsson	19
OlafurOskarsson	18
SveinnEinarsson	18
JohannesKotlum	18
BaldurOskarsson	18
KristjanIngolfsson	18
RikhardBrynjolfsson	17
AlmaJohannsdottir	17
OskarLevy	17
LaraStefansdottir	17
AsbergSigurdsson	17
LarusHannesson	17
JohannesArnason	17
HjaltiHaraldsson	17
THorarinnBenediktsson	17
JonTHorleifsson	16
SoffiaGisladottir	16
GudmundurLarusson	16
AndresEyjolfsson	16
KristjanFridriksson	16
BryndisGudmundsdottir	16
UnaOskarsdottir	16
MagnusJonsson1948	16
PallMagnusson1971	16
SoffiaGudmundsdottir	16
DyrleifSkjoldal	15
ArnaJonsdottir	15
JonArnarson	15
IngibjorgTHordardottir	15
ElinLindal	15
ValgeirSkagfjord	15
BrynjaMagnusdottir	15
JonGislason	15
OlafurBjornsson1924	15
StefanStefansson1972	15
KariSigurjonsson	14
GeirthrudurBernhoft	14
BirnaLarusdottir1966	14
EinarKarason	14
RagnhildurEggertsdottir	14
EllertEiriksson	14
GudniJohannesson	14
SigurdurTHorolfsson	14
JonSigurdsson1871	14
BogiSigurbjornsson	14
PeturSigurdsson1932	14
SverrirSveinsson	14
THuridurPalsdottir	14
KristjanEldjarn	13
SkuliThoroddsen	13
RagnheidurOlafsdottir	13
UnnurStefansdottir	13
UnaHildardottir	13
VigdisFinnbogadottir	12
BodvarBragason	12
OrriJohannsson	12
MariannaFridjonsdottir	12
ArndisSigurdardottir	12
SveinbjorgSveinbjornsdottir	12
IngibjorgSigmundsdottir	12
ValtyrKristjansson	12
SigurrosTHorgrimsdottir	12
JohannFridriksson	12
AsgeirPetursson	11
SamuelErlingsson	11
DrifaSnaedal	11
IngibjorgGudmundsdottir	11
GudmundurMagnusson	11
LaraJuliusdottir	11
NjordurSigurdsson	11
SigfusKarlsson	11
SigfusJohnsen	11
SteindorSteindorsson	11
ViktorValgardsson	11
THuridurBernodusdottir	11
HaraldurJonasson	10
ElvarEyvindsson	10
HuldAdalbjarnardottir	10
JonBjarnason1948	10
HannesTHorsteinsson	10
KristinSigurdardottir	10
ValtyrGudjonsson	10
BirnaSigurjonsdottir	10
GudjonSigurjonsson	10
PallDagbjartsson	10
GudrunErlingsdottir	10
AnnaSigurdardottir	10
ValgerdurGunnarsdottir	10
GuttormurEinarsson	10
BergthorFinnbogason	10
PallKristjansson	10
MagnusGislason1918	10
DadiKristofersson	10
ArnorSigurjonsson	10
TryggviGunnarsson1927	10
GudmundurJonsson	10
OlafurBjornsson1962	10
AgustGardarsson	10
MariaLarusdottir	9
HermannNielsson	9
BragiMichaelsson	9
KristjanGunnarsson	9
GudrunSigurjonsdottir	9
IngibjorgDanielsdottir	9
MariaIngvadottir	9
KristinTryggvadottir	9
MarkusEinarsson	9
GunnarJonsson	9
AndriSturluson	8
GudmundurVesteinsson	8
HelgaJonasdottir	8
HuldaJensdottir	8
THorarinnSveinsson	8
JonHakonarson	8
FjolnirSaemundsson	8
SnaebjornBrynjarsson	8
MagnusAndresson1845	8
BodvarJonsson	8
ArnthrudurKarlsdottir	8
ViktorKjartansson	8
GudrunTryggvadottir	8
KolbrunJonsdottir	8
GunnarFridriksson	8
DavidStefansson	8
BaldurTHorhallsson	8
SigurdurHlodvesson	8
PaulNikolov	8
HalldoraTHorvaldsdottir	7
VigfusJonsson	7
BryndisFridgeirsdottir	7
JonAdils	7
RagnheidurHakonardottir	7
HjordisHjorleifsdottir	7
SigurgeirSigurdsson	7
HrafnJokulsson	7
MargretSigurdardottir	7
EldarAstthorsson	7
MargretSverrisdottir	7
SandraFranks	7
KarenErlingsdottir	7
HjorturSnorrason	7
BirgirDyrfjord	7
OlafurKristjansson	7
THordisSigurdardottir	7
OnundurBjornsson	7
THorbjorgArnorsdottir	7
JorunnEinarsdottir	6
AlexStefansson	6
GisliGardarsson	6
KatlaTHorhildardottir	6
GudmundurTHorsteinsson	6
HafdisHafsteinsdottir	6
SiggeirBjornsson	6
JohannaGudmundsdottir	6
JohannaLeopoldsdottir	6
BenonyArnorsson	6
THorvaldurJonsson	6
KristjanaBergsdottir	6
HermannJonsson	6
SigurdurJohannesson	6
EyrunEythorsdottir	6
RosaGudbjartsdottir	6
HerdisSaemundardottir	6
SvanhildurArnadottir	6
KristjanaThorsteinsson	6
ElsaKristjansdottir	6
UnnurBragadottir	6
HilmarGunnlaugsson	6
VilhjalmurVilhjalmsson	6
BjorkVilhelmsdottir	5
GudrunHallgrimsdottir	5
SigrunGunnarsdottir	5
RagnheidurSveinbjornsdottir	5
KatrinAsgrimsdottir	5
NannaGunnlaugsdottir	5
MagnusSveinsson	5
ErnaIndridadottir	5
AgustHelgason	5
EirikurAlexandersson	5
SnjolaugGudmundsdottir	5
JakobMagnusson	5
THorvaldurIngvarsson	5
SigrunJonsdottir	5
BaldvinJonsson	5
THordurBenediktsson	5
SigridurEgilsdottir	5
JohannJonsson	5
HelgaTHorbergsdottir	5
GudmundurGislason	5
ElinbjorgMagnusdottir	5
HelgaErlingsdottir	5
PallMetusalemsson	5
KolbrunBaldursdottir	5
HolmfridurSveinsdottir	5
IngviOskarsson	5
ArnarJonsson	4
ViktorPalsson	4
THorVigfusson	4
AgustaGisladottir	4
BjorkJohannsdottir	4
AddaSigfusdottir	4
SigurgeirBoasson	4
OlafurOlafsson1924	4
ElinGisladottir	4
BjorgvinSalomonsson	4
HjordisSigurthorsdottir	4
SigthrudurArmann	4
OddgeirOttesen	4
BjornLindal1956	4
VilhjalmurArnason1945	4
GunnarKristofersson	4
BjornBjarnason1953	4
HallaGunnarsdottir	4
ArmannHoskuldsson	4
SigfusJonsson1938	4
OlafurEiriksson	4
JarthrudurAsmundsdottir	4
JohannaTHorsteinsdottir	4
HjorturTHorarinsson	4
SveinnHalfdanarson	4
OlafurGränz	4
BergljotHalldorsdottir	4
RagnarGudleifsson	3
HaukurHafstad	3
ElinHardardottir	3
SigurgeirKristjansson	3
JonasMagnusson	3
GeirTHorisson	3
HalldorJonsson1929	3
GunnarOlafsson1958	3
IngaJonsdottir	3
ElinJohannsdottir	3
SveinnElinbergsson	3
JoninaMagnusdottir	3
SigurdurGudmundsson1934	3
JohannaEgilsdottir	3
SigridurTHorvaldsdottir	3
KarenHalldorsdottir	3
HannaJohannsdottir	3
LiljaGudmundsdottir	3
THorleifurKristmundsson	3
RagnarElbergsson	3
AmalTamimi	3
OlofValdimarsdottir	3
DanielArnarsson	3
HelgaHalldorsdottir	3
AudurEiriksdottir	3
EvaHelgadottir	3
SigurjonKjaernested	3
JonOskarsson	3
SoffiaIngvarsdottir	3
BjarniJanusson	3
MargretPetursdottir	3
RagnarTHorgeirsson	3
THoraHjaltadottir	3
OddurAndresson	3
FjolaBjornsdottir	3
FinnbogiHermannsson	3
SturlaTHorsteinsson	2
VidirPetersen	2
THorsteinnGislason	2
RagnarOskarsson	2
AlbertGudmundsson1991	2
AslaugFridriksdottir	2
JonAsbergsson	2
JohannHlidar	2
UnnarBodvarsson	2
BjornSveinsson	2
GudmundurBeck	2
DoraTynes	2
GunnarBenediktsson	2
PrebenPetursson	2
GunnarPalsson	2
AnnaEliasdottir	2
AngantyrGudjonsson	2
THorsteinnMagnusson	2
SvanhvitAradottir	2
JonArnason1970	2
OlafiaIngolfsdottir	2
JohannaBjornsdottir	2
MatthiasIngibergsson	2
AdolfBerndsen	2
LiljaSigurgeirsdottir	2
KatrinAndresdottir	2
IngibjorgIsaksen	2
JohannaPalmadottir	2
THorunnPetursdottir	2
MariaKristinsdottir	2
VigdisSveinbjornsdottir	2
KristinSigurdardottir1950	2
GunnhildurHallgrimsdottir	2
BjornGislason	2
ThomasMoller	2
KarolinaSimonardottir	2
BjornSveinbjornsson	2
IngvarJohannsson	2
OskVilhjalmsdottir	2
IngibjorgOdinsdottir	1
PeturMarkan	1
AsgeirAsgeirsson1963	1
GudrunIngolfsdottir	1
DanielArnason	1
SigurdurAgustsson1970	1
SigridurRagnarsdottir	1
StefaniaTraustadottir	1
MagnusJonsson	1
JonEsberg	1
GudnyKarlsdottir	1
KjartanEggertsson	1
THordisBergsdottir	1
MariannaRagnarsdottir	1
SunnaVidisdottir	1
LenyaKarim	1
TomasTomasson	1
BjornStefansson1910	1
BessiJohannsdottir	1
LiljaSigurdardottir	1
MagdalenaSigurdardottir	1
HildurEinarsdottir	1
GizurGottskalksson	1
KristinTraustadottir	1
GunnarPetursson	1
SigrunGisladottir	1
SigridurHjartar	1
BirnaLarusdottir	1
JorginaJonsdottir	1
HeidaAsgeirsdottir	1
AddaJohannsdottir	1
EvaMagnusdottir	1
GunnthorunnGunnlaugsdottir	1
TelmaMagnusdottir	1
IngunnSvavarsdottir	1
GudrunValdimarsdottir	1
GisliJonsson1925	1
HjorturHjalmarsson	1
GudrunBenediktsdottir	1
AnnaJensdottir	1
JohannesGudmundsson	1
SigurbjorgEgilsdottir	1
ArndisJonsdottir	1
UnnurKristjansdottir	1
PeturHannesson	1
HakonHakonarson	1
THorsteinnTHorsteinsson1929	1
EvaBaldursdottir	1
HafsteinnTHorvaldsson	1
BragiJosepsson	1
